year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2016,Kia,Optima,Lx,Sc,Normal Wear,0,132328 mi,47240686,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2015,Honda,Fit,Lx,Sc,Front End,0,112644 mi,46496576,[PREMIUM],,Ca - Sun Valley,CA,,,[PREMIUM]
2024,Subaru,Outback,Premium,Sc,Front End,0,16935 mi,45948096,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2016,Porsche,Cayenne,Se Hybrid,Sc,Front End,0,126641 mi,45791556,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2022,Tesla,Model Y,,Sc,Front End,0,0 mi,45722896,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2022,Toyota,Corolla,Le,Sc,Front End,0,76148 mi,41797456,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2019,Ford,Fusion,Titanium,Sc,Front End,0,38158 mi,41611996,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2022,Subaru,Ascent,Touring,Sc,Rear End,0,73689 mi,79557455,[PREMIUM],2026-04-09,Ca - Antelope,CA,,,[PREMIUM]
2022,Toyota,Mirai,Xle,Sc,Front End,0,12570 mi,79899155,[PREMIUM],2026-04-09,Ca - Antelope,CA,,,[PREMIUM]
2016,Hyundai,Sonata,Se,Sc,Front End,0,138217 mi,47054116,[PREMIUM],2026-04-16,Ca - Antelope,CA,,,[PREMIUM]
2021,Nissan,Rogue,S,Sc,Front End,0,80353 mi,47118066,[PREMIUM],2026-04-09,Ca - Antelope,CA,,,[PREMIUM]
2018,Ford,Fusion,Se Hybrid,Sc,Front End,0,117746 mi,46185416,[PREMIUM],2026-04-09,Ca - Antelope,CA,,,[PREMIUM]
2018,Subaru,Outback,2.5I Premium,Sc,Side,0,54509 mi,41988396,[PREMIUM],2026-04-16,Ca - Antelope,CA,,,[PREMIUM]
2019,Hyundai,Tucson,Se,Sc,Front End,0,101143 mi,79833815,[PREMIUM],2026-04-07,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2015,Bmw,M3,,Sc,Minor Dent/Scratches,0,79789 mi,79309885,[PREMIUM],2026-04-21,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2019,Cadillac,Cts,Luxury,Sc,Front End,0,94932 mi,77239885,[PREMIUM],2026-04-09,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2015,Toyota,Camry,Xse,Sc,Front End,0,128157 mi,75867225,[PREMIUM],2026-04-09,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2025,Chev,Colorado,,Sc,Rear End,0,8113 mi,75673995,[PREMIUM],2026-04-09,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2020,Nissan,Versa,S,Sc,Front End,0,124051 mi,74128975,[PREMIUM],2026-04-09,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2019,Chevrolet,Equinox,Premier,Sc,Side,0,118073 mi,47743256,[PREMIUM],2026-04-16,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2018,Toyota,Tacoma,Trd Off-Road,Sc,Front End,0,154474 mi,46945846,[PREMIUM],2026-04-16,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2018,Hyundai,Santa Fe,2.4L,Sc,Front End,0,64464 mi,46503846,[PREMIUM],2026-04-16,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2023,Can-Am,Sidebyside,Unknown,Sc,Front End,0,2032 mi,42075466,[PREMIUM],2026-04-23,Crashedtoys Powersport Auction,CA,,,[PREMIUM]
2025,Ford,Bronco,Heritage,Sc,All Over,0,10876 mi,41862946,[PREMIUM],2026-04-16,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2021,Subaru,Wrx,,Sc,Front End,0,47856 mi,41816486,[PREMIUM],2026-04-16,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2026,Toyota,Corolla,Le,Sc,Front End,0,1712 mi,73267865,[PREMIUM],2026-04-08,Ca - Martinez,CA,,,[PREMIUM]
2016,Cadillac,Ct6,Premium,Sc,Side,0,196452 mi,47114456,[PREMIUM],2026-04-08,Ca - Martinez,CA,,,[PREMIUM]
2021,Lexus,Rx350,Base,Sc,Side,0,176070 mi,46909426,[PREMIUM],2026-04-22,Ca - Martinez,CA,,,[PREMIUM]
2019,Honda,Accord,Touring,Sc,Vandalism,0,64244 mi,45654446,[PREMIUM],2026-04-08,Ca - Martinez,CA,,,[PREMIUM]
2017,Lexus,Ls500,Base,Sc,Rear End,0,53380 mi,41848416,[PREMIUM],2026-04-15,Ca - Martinez,CA,,,[PREMIUM]
2022,Hyundai,Santa Fe,Sel,Sc,Front End,0,42849 mi,79115635,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2023,Kia,Sportage,Ex,Sc,Front End,0,59026 mi,78317065,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2020,Dodge,Caravan,Sxt,Sc,Front End,0,0 mi,47119936,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2020,Toyota,Camry Sola,Xle,Sc,Front End,0,107929 mi,46955766,[PREMIUM],2026-04-14,Ca - San Diego,CA,,,[PREMIUM]
2019,Kia,Sportage,Ex,Sc,Front End,0,76402 mi,46163136,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2017,Mitsubishi,Outlander,Se,Sc,Rear End,0,115294 mi,46061216,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2022,Bmw Motorrad,5 Series,,Sc,Front End,0,0 mi,45881086,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2023,Tesla,Model Y,,Sc,Side,0,49410 mi,45633486,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2018,Jeep,Compass,Limited,Sc,Rear End,0,137121 mi,45476646,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2025,Honda,Civic,Sport,Sc,Side,0,21861 mi,42007236,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2019,Honda,Civic,Lx,Sc,Front End,0,88710 mi,41789036,[PREMIUM],2026-04-17,Ca - San Diego,CA,,,[PREMIUM]
2019,Gmc,Sierra,K1500 Denali,Sc,Undercarriage,0,84187 mi,98196495,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2021,Mazda,Cx-5,Touring,Sc,Front End,0,66918 mi,97052245,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2024,Audi,Q3,Premium Plus S Line 45,Sc,Front End,0,19342 mi,95907995,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2022,Toyota,Camry,Se,Sc,Front End,0,0 mi,95708865,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2019,Honda,Civic,Sport,Sc,Front End,0,147830 mi,79579725,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Dodge,Caravan,Sxt,Dv,Minor Dent/Scratches,0,160118 mi,79435845,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Toyota,Corolla,L,Sc,Side,0,0 mi,72986195,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2016,Hyundai,Sonata,Se,Sc,Vandalism,0,86903 mi,47651566,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2023,Indian Motorcycle Co.,Motorcycle,Bobber Sixty Abs,Sc,Front End,0,0 mi,47424986,[PREMIUM],2026-04-09,Crashedtoys Powersport Auction,CA,,,[PREMIUM]
2020,Honda,Accord,Hybrid,Sc,Front End,0,181349 mi,46710986,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2026,Toyota,Camry,Xse,Sc,Rear End,0,3349 mi,45942456,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
