year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2019,Dodge,Challenger,Sxt,St,Undercarriage,0,102382 mi,45698566,,2026-04-16,Al - Dothan,AL,Rebrowser-Copart,COPART,
2023,Mazda,Cx-50,Preferred Plus,Sc,Side,0,53421 mi,78697485,,2026-04-15,Nc - Gastonia,NC,Rebrowser-Copart,COPART,
2013,Niss,Maxima,S,Sc,Side,0,0 mi,78601655,,2026-04-15,Nc - Gastonia,NC,Rebrowser-Copart,COPART,
2016,Kia,Soul,,Sv,Front End,0,95677 mi,69081645,,2026-04-02,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2014,Ford,All Models,,St,Front End,0,0 mi,89371255,,2026-04-02,Ontario Auction,ON,Rebrowser-Copart,COPART,
2016,Toyota,Prius,,St,Side,0,181843 mi,80394535,,2026-04-06,Co - Colorado Springs,CO,Rebrowser-Copart,COPART,
2013,Volvo,Xc60,T6,Sc,Front End,0,71932 mi,80646175,,2026-04-03,Nj - Somerville,NJ,Rebrowser-Copart,COPART,
2023,Honda,Crv,Exl,St,Rear End,0,73058 mi,78680155,,,Ia - Cedar Rapids,IA,Rebrowser-Copart,COPART,
2018,Jeep,Renegade,Latitude,St,Front End,0,118713 mi,41732936,,,Ia - Cedar Rapids,IA,Rebrowser-Copart,COPART,
2016,Ford,F150,Supercrew,Ct,Normal Wear,0,217962 mi,79630965,,2026-04-07,Wholesale Auction,SD,Rebrowser-Copart,COPART,
2025,Toyota,Corolla,Xse,Ct,Side,0,2626 mi,79948155,,2026-04-02,Wholesale Auction,VT,Rebrowser-Copart,COPART,
2017,Ski-Doo,Snowmobile,,St,Front End,0,2223 mi,78602035,,,Crashedtoys Powersport Auction,VT,Rebrowser-Copart,COPART,
2025,Subaru,Forester,Wilderness,St,Front End,0,4837 mi,76197905,,2026-04-06,Vt - Rutland,VT,Rebrowser-Copart,COPART,
2017,Toyota,Tacoma,Double Cab,St,Front End,0,0 mi,75952435,,2026-04-06,Vt - Rutland,VT,Rebrowser-Copart,COPART,
2024,Audi,S5/Rs5,Premium Plus,St,Front End,0,20999 mi,47501996,,2026-04-06,Vt - Rutland,VT,Rebrowser-Copart,COPART,
2019,Honda,Accord,Touring Hybrid,St,Front End,0,57352 mi,46645776,,2026-04-06,Vt - Rutland,VT,Rebrowser-Copart,COPART,
2016,Mazda,Cx-5,Touring,St,Front End,0,172899 mi,45728876,,2026-04-06,Vt - Rutland,VT,Rebrowser-Copart,COPART,
2017,Nissan,Altima,2.5,Rs,Front End,0,139961 mi,87296085,,2026-04-16,Tx - North Austin,TX,Rebrowser-Copart,COPART,
2015,Honda,Accord,Exl,Ct,Normal Wear,0,178039 mi,78896535,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2021,Mazda,Cx30,Select,Ct,Front End,0,89062 mi,78277555,,2026-04-16,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2015,Audi,A3,Premium Plus,Ct,Front End,0,105604 mi,45549026,,2026-04-16,Tx - North Austin,TX,Rebrowser-Copart,COPART,
2017,Kia,Forte,Lx,Ct,Front End,0,0 mi,41665726,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2018,Chrysler,300,Limited,Ct,Minor Dent/Scratches,0,131999 mi,79809205,,2026-04-07,Wholesale Auction,LA,Rebrowser-Copart,COPART,
2016,Buick,Encore,,Ct,Front End,0,164744 mi,96353215,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2017,Jeep,Grand Cher,Limited,Ct,Front End,0,132923 mi,95126615,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Ram,1500,Slt,Ct,Side,0,173250 mi,93934065,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2015,Toyota,Corolla,Le,Ct,Front End,0,75497 mi,78842435,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2020,Subaru,Forester,Premium,Rs,Mechanical,0,76189 mi,78372595,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2020,Ford,Ecosport,Se,Ct,Top/Roof,0,80017 mi,78042695,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Toyota,C-Hr,Xle,Ct,Front End,0,82475 mi,77113295,,2026-04-09,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Buick,Regal,Preferred,St,Front End,0,106913 mi,76639505,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2019,Audi,S5/Rs5,Premium Plus,Ct,Front End,0,68022 mi,75994225,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2024,Buick,Encore,Sport Touring,St,Front End,0,27136 mi,75997565,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2019,Chevrolet,Trax,1Lt,Ct,Front End,0,78550 mi,75237145,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2025,Chevrolet,Tahoe,K1500 Premier,Ct,Front End,0,21134 mi,74446365,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Chevrolet,All Models,K1500 Lt,Ct,Side,0,156583 mi,74077405,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2017,Jeep,Renegade,Latitude,Ct,Front End,0,88194 mi,72247585,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2016,Jeep,Cherokee,Trailhawk,Po,Rollover,0,0 mi,56890025,,2026-04-09,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2017,Chevrolet,Malibu,Lt,Ct,Side,0,146996 mi,46837596,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2013,Gmc,Acadia,Slt-2,Ct,Front End,0,136324 mi,46701106,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Hyundai,Santa Fe,2.0T Ultimate,Ct,Front End,0,95148 mi,46397806,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2017,Chevrolet,Express G,,Ct,Front End,0,223303 mi,46173316,,2026-04-13,Medium Duty Clean Title Sale,MI,Rebrowser-Copart,COPART,
2019,Lexus,Rx350,F Sport,Fc,Water/Flood,0,74139 mi,46059786,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2016,Honda,Crv,Touring,Ct,All Over,0,0 mi,45965456,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2015,Chevrolet,Equinox,Ls,Ct,Rear End,0,91180 mi,45793086,,2026-04-02,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2018,Chrysler,All Models,Hybrid Limited,Ct,Front End,0,85393 mi,41752176,,,Mi - Wayland,MI,Rebrowser-Copart,COPART,
2012,Jeep,Liberty,Sport,Ct,Normal Wear,0,232008 mi,47676086,,2026-04-03,Me - Windham,ME,Rebrowser-Copart,COPART,
2018,Ford,Escape,Sel,Ct,Normal Wear,0,41617 mi,46405996,,2026-04-03,Me - Windham,ME,Rebrowser-Copart,COPART,
2012,Ford,F150,Supercrew,Rp,Rear End,0,148871 mi,79809065,,2026-04-02,Wholesale Auction,OH,Rebrowser-Copart,COPART,
2023,Dodge,Charger,Sxt,St,Front End,0,55037 mi,77661235,,2026-04-03,Oh - Akron,OH,Rebrowser-Copart,COPART,
2017,Toyota,Corolla,L,St,Front End,0,104390 mi,76675265,,2026-04-03,Oh - Akron,OH,Rebrowser-Copart,COPART,
2022,Ford,Escape,Se,St,Rear End,0,17159 mi,74462835,,2026-04-03,Oh - Akron,OH,Rebrowser-Copart,COPART,
2020,Chevrolet,Equinox,Premier,Fs,Mechanical,0,73654 mi,46047516,,2026-04-03,Oh - Akron,OH,Rebrowser-Copart,COPART,
2014,Hyundai,Accent,Gls,St,Side,0,100525 mi,45955886,,2026-04-03,Oh - Akron,OH,Rebrowser-Copart,COPART,
2014,Honda,Pilot,Exl,Ct,Undercarriage,0,114799 mi,98145135,,2026-04-06,Wi - Milwaukee South,WI,Rebrowser-Copart,COPART,
2019,Chevrolet,Impala,Lt,Ct,Stripped,0,0 mi,79190425,,2026-04-02,Wholesale Auction,WI,Rebrowser-Copart,COPART,
2014,Dodge,Durango,Citadel,Bp,Front End,0,132147 mi,78868605,,2026-04-06,Wi - Milwaukee South,WI,Rebrowser-Copart,COPART,
2015,Arctic Cat,Arctic Cat,,Bs,Front End,0,0 mi,46340026,,2026-04-06,Wi - Milwaukee South,WI,Rebrowser-Copart,COPART,
2018,Polaris,Pro / Ride,Base Pkg,Bs,Rollover,0,0 mi,46669696,,2026-04-06,Wi - Milwaukee South,WI,Rebrowser-Copart,COPART,
2014,Chevrolet,Malibu,1Lt,St,Rollover,0,185627 mi,95984435,,2026-04-06,In - Dyer,IN,Rebrowser-Copart,COPART,
2019,Ram,All Models,1500 Standard,St,Side,0,31055 mi,78272195,,2026-04-08,Medium Duty Specialty Sale,IN,Rebrowser-Copart,COPART,
2023,Chevrolet,Traverse,Lt,Sc,Front End,0,73166 mi,77967485,,,In - Dyer,IN,Rebrowser-Copart,COPART,
2016,Honda,Crv,Se,St,Side,0,263775 mi,76198475,,,In - Dyer,IN,Rebrowser-Copart,COPART,
2016,Freigliner,Cascadia,,St,Side,0,478611 mi,47666136,,2026-04-13,In - Dyer,IN,Rebrowser-Copart,COPART,
2020,Hyundai,Santa Fe,Limited,Sc,Rear End,0,90128 mi,99329065,,2026-04-02,Ks - Kansas City,KS,Rebrowser-Copart,COPART,
2020,Ford,Expedition,Xlt,Sc,Front End,0,84161 mi,93205715,,2026-04-07,Ks - Kansas City,KS,Rebrowser-Copart,COPART,
2017,Dodge,Caravan,Gt,Cz,Normal Wear,0,113661 mi,86216095,,2026-04-02,Ks - Kansas City,KS,Rebrowser-Copart,COPART,
2019,Ford,Escape,Se,Ct,Normal Wear,0,52308 mi,78529955,,2026-04-02,Wholesale Auction,KS,Rebrowser-Copart,COPART,
2020,Ford,Mustang,,Ct,Side,0,41138 mi,75692815,,2026-04-02,Wholesale Auction,KS,Rebrowser-Copart,COPART,
2021,Ford,F-150,Supercrew,St,Rear End,0,67648 mi,75401065,,,Ks - Kansas City,KS,Rebrowser-Copart,COPART,
2016,Jeep,Patriot,Latitude,Rp,Minor Dent/Scratches,0,138540 mi,73482595,,2026-04-02,Wholesale Auction,KS,Rebrowser-Copart,COPART,
2024,Ford,Escape St,St Line,Sc,Minor Dent/Scratches,0,22618 mi,70346055,,,Ks - Kansas City,KS,Rebrowser-Copart,COPART,
2013,Volkswagen,Passat,Se,Cz,Front End,0,290592 mi,79089715,,2026-04-02,Wholesale Auction,NC,Rebrowser-Copart,COPART,
2015,Bmw,3 Series,I,Cz,Front End,0,152956 mi,48351576,,2026-04-17,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2017,Hyundai,Elantra,Se,Sq,Undercarriage,0,146739 mi,48164066,,2026-04-17,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2016,Chrysler,300,,Ct,Rear End,0,155688 mi,48289616,,2026-04-10,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2015,Ford,Fusion,Se,Cz,Minor Dent/Scratches,0,203273 mi,47385986,,2026-04-14,*Ncs - Eastern Region,NC,Rebrowser-Copart,COPART,
2015,Ford,Taurus,Sel,Sc,Rear End,0,153680 mi,47061296,,,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2018,Toyota,Corolla,Se,Sc,Rear End,0,97016 mi,46435696,,,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2020,Honda,Accord,Sport,Sc,Front End,0,113024 mi,46370286,,,Nc - Raleigh North,NC,Rebrowser-Copart,COPART,
2019,Audi,A4,Premium,Ct,Side,0,66260 mi,75666625,,2026-04-13,Fl - Clewiston,FL,Rebrowser-Copart,COPART,
2021,Tesla,Model Y,,Rb,Front End,0,58359 mi,48144456,,2026-04-13,Fl - Clewiston,FL,Rebrowser-Copart,COPART,
2015,Ford,All Models,,Ct,Biohazard/Chemical,0,152434 mi,48177116,,2026-04-06,Fl - Clewiston,FL,Rebrowser-Copart,COPART,
2018,Mazda,3,Touring,Rt,Front End,0,137153 mi,47835026,,2026-04-06,Fl - Clewiston,FL,Rebrowser-Copart,COPART,
2023,Mercedes Benz,Sprinter,2500,Sc,Front End,0,140266 mi,74484945,,2026-04-08,Medium Duty Specialty Sale,ND,Rebrowser-Copart,COPART,
2019,Bmw,X3,Xdrive30I,Sc,Front End,0,21974 mi,79847625,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2025,Hyundai,Palisade,Sel,Sc,Front End,0,24566 mi,79491975,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2021,Kia,Forte,Lxs,Sc,Rear End,0,123589 mi,79312685,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2023,Ford,Mustang Mach-E,Select,Sc,Front End,0,30459 mi,79042885,,2026-04-09,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2018,Subaru,Wrx,Sti Limited,Sc,Rear End,0,53781 mi,78348785,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2022,Hyundai,Kona,Se,Sc,Front End,0,56501 mi,77530705,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2023,Toyota,Highlander,Platinum,Sc,Side,0,31797 mi,76986805,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2018,Chevrolet,Impala,Lt,Sc,Front End,0,116311 mi,75218845,,2026-04-02,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2024,Mazda,Cx-90,Preferred Plus,Sc,Front End,0,41210 mi,47276026,,,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2023,Mazda,3,Preferred,Sc,Rear End,0,15986 mi,41657716,,2026-04-07,Az - Phoenix North,AZ,Rebrowser-Copart,COPART,
2019,Honda,Crv,Ex,St,Front End,0,142545 mi,95756725,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2017,Toyota,Rav4,Xle,St,All Over,0,0 mi,79994745,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2019,Jeep,Grand Cher,Limited,St,Front End,0,109032 mi,79643735,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2021,Toyota,Corolla,Le,St,Front End,0,90545 mi,79614315,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2018,Jeep,Grand Cher,Limited,St,Front End,0,111628 mi,79463555,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2017,Ram,All Models,St,St,Burn,0,0 mi,79203125,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2025,Chevrolet,Equinox,Lt,St,Rear End,0,11545 mi,78894205,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2019,Acura,Tlx,,St,Front End,0,78280 mi,77732655,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2018,Honda,Accord,Sport,St,Rear End,0,104595 mi,77079965,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2024,Chevrolet,Equinox,Ls,St,Front End,0,0 mi,76645785,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2019,Chevrolet,Equinox,Lt,St,Front End,0,134219 mi,72944845,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2014,Nissan,Pathfinder,S,Ct,Front End,0,153817 mi,47975156,,2026-04-15,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2013,Honda,Crv,Ex,Ct,Mechanical,0,263692 mi,47941346,,2026-04-08,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2026,Ford,Explorer,St-Line,Ct,Front End,0,5430 mi,47982066,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2024,Ford,Expedition,Limited,Ct,Front End,0,69360 mi,47530876,,2026-04-08,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2019,Jeep,Grand Cher,Latitude Plus,St,Front End,0,84733 mi,47504696,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2025,Jeep,Compass,Trailhawk,Ct,Side,0,32565 mi,47244636,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2022,Tesla,Model 3,,Ct,Side,0,112599 mi,47229946,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2025,Nissan,Versa,Sv,Cd,Front End,0,21167 mi,47171476,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2025,Ford,Bronco,Badlands,Ct,Front End,0,15619 mi,46919926,,2026-04-06,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2025,Honda,Civic,Sport,Cd,Front End,0,0 mi,46948566,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2023,Chrysler,300,S,St,All Over,0,0 mi,46752366,,,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2015,Honda,Crv,Lx,Rs,Minor Dent/Scratches,0,190168 mi,46862786,,2026-04-08,Ma - Freetown,MA,Rebrowser-Copart,COPART,
2025,Ford,Escape,St Line Select,Rb,Front End,0,16295 mi,46367936,,2026-04-01,Rental Vehicle Sale,MA,Rebrowser-Copart,COPART,
2017,Chevrolet,Express,,Ct,Mechanical,0,187542 mi,46145396,,2026-04-06,Medium Duty Clean Title Sale,MA,Rebrowser-Copart,COPART,
2014,Chevrolet,Impala,Lt,St,Front End,0,184337 mi,99778475,,,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2025,Subaru,Forester,Premium,St,Front End,0,7194 mi,86122995,,2026-04-13,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2021,Honda,Civic,Sport,Ct,Front End,0,154766 mi,86219645,,2026-04-09,Wholesale Auction,IN,Rebrowser-Copart,COPART,
2015,Kia,Optima,Lx,Bp,Rear End,0,160371 mi,79255175,,2026-04-06,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2020,Bmw Motorrad,3 Series,,Ct,Minor Dent/Scratches,0,116979 mi,78627975,,2026-04-14,Wholesale Auction,IN,Rebrowser-Copart,COPART,
2017,Niss,Sentra,,St,Front End,0,119564 mi,77827105,,,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2015,Volkswagen,Passat,S,St,Front End,0,112005 mi,75003545,,2026-04-13,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2016,Subaru,Forester,2.0Xt Touring,Ct,Mechanical,0,291076 mi,47539276,,2026-04-13,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2015,Chrysler,200,Limited,Ct,Front End,0,69468 mi,47915666,,2026-04-06,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2015,Honda,Odyssey,Touring,Ct,Front End,0,207871 mi,46481676,,2026-04-06,In - Fort Wayne,IN,Rebrowser-Copart,COPART,
2023,Kia,K5,Ex,St,Side,0,17718 mi,99884985,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2013,Ford,Edge,Sel,St,Rear End,0,168850 mi,99424795,,2026-04-07,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2012,Buick,Lacrosse,Premium,St,Front End,0,180670 mi,98557885,,2026-04-07,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2015,Jeep,Grand Cher,Limited,St,Front End,0,168278 mi,96054385,,2026-04-07,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2018,Jeep,Wrangler,Sport,St,Rollover,0,0 mi,81796055,,2026-04-07,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2013,Honda,Crv,Exl,St,Front End,0,0 mi,79283755,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2017,Kia,Forte,Ex,St,Front End,0,36880 mi,78246355,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2013,Lexus,Es350,Base,St,Rear End,0,131754 mi,79032015,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2022,Honda,Crv,Exl,St,Front End,0,56529 mi,78972225,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2026,Honda,Civic,Lx,St,Front End,0,2197 mi,78338845,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2013,Buick,Verano,,St,Front End,0,152198 mi,76972155,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2021,Hyundai,Sonata,Limited,St,Front End,0,90321 mi,76544125,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2014,Toyota,Tacoma,Double Cab Prerunner,St,Front End,0,144351 mi,75186315,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2018,Honda,Ridgeline,Sport,St,Front End,0,76357 mi,75743435,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2014,Mazda,6,Sport,St,Front End,0,110610 mi,74823945,,2026-04-07,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2024,Jeep,Compass,Latitude,St,Rollover,0,0 mi,74981575,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2020,Honda,Accord,Touring,St,Front End,0,183362 mi,73046205,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2016,Hyundai,Sonata,Se,Bp,Front End,0,124153 mi,68260845,,2026-04-14,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2020,Bmw,5 Series,Xi,St,Front End,0,50107 mi,47907526,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2016,Chevrolet,Silverado,K1500 Ltz,St,Front End,0,92691 mi,47399646,,2026-04-14,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2015,Acura,Mdx,Advance,St,Side,0,152680 mi,47617976,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2014,Chevrolet,Sonic,Lt,St,Rear End,0,197175 mi,47201816,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2018,Nissan,Frontier,S,St,Front End,0,41931 mi,46818036,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2019,Ford,Fusion,Se,Bp,Burn,0,99999 mi,46406696,,2026-04-14,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2017,Nissan,Rogue,S,Ct,Front End,0,192074 mi,46406586,,2026-04-14,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2015,Buick,Lacrosse,,St,Front End,0,111456 mi,46272236,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2021,Ram,2500,Tradesman,St,Front End,0,30229 mi,45471286,,,Ga - Augusta,GA,Rebrowser-Copart,COPART,
2020,Toyota,Corolla,Le,Ct,Front End,0,61260 mi,41854516,,2026-04-02,Wholesale Auction,GA,Rebrowser-Copart,COPART,
2021,Niss,Nv,1500 Sv,Sv,Front End,0,0 mi,94098115,,2026-04-08,Medium Duty Specialty Sale,TX,Rebrowser-Copart,COPART,
2021,Toyota,Tundra,Sr5,Ct,Front End,0,134332 mi,79775795,,2026-04-16,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2014,Gmc,Sierra,C1500 Sle,Ct,Minor Dent/Scratches,0,218600 mi,79755665,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2014,Toyota,Camry,Se Sport,Ct,Minor Dent/Scratches,0,132590 mi,79755685,,2026-04-14,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2016,Dodge,Dart,Sxt,R2,Minor Dent/Scratches,0,176471 mi,79809185,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2015,Ford,All Models,,Ct,Front End,0,72492 mi,79491465,,2026-04-13,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2015,Chevrolet,Cruze,Lt,Ct,Minor Dent/Scratches,0,112376 mi,79274825,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2018,Ford,Transit,Xl,Ct,Mechanical,0,113685 mi,79102005,,2026-04-06,Medium Duty Clean Title Sale,TX,Rebrowser-Copart,COPART,
2015,Nissan,Versa,1.6 Sl,Rs,Minor Dent/Scratches,0,118019 mi,78611895,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2013,Niss,Versa,S,Rc,Rear End,0,100579 mi,77969345,,2026-04-09,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2015,Cadillac,Srx,,Sv,Front End,0,360710 mi,77907985,,2026-04-02,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2022,Toyota,Rav4,Le,St,Side,0,26839 mi,76634435,,2026-04-09,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2022,Chevrolet,Malibu,Lt,Sc,Front End,0,0 mi,75003335,,2026-04-02,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2015,Nissan,Armada,Platinum,Ct,Rear End,0,169870 mi,48049856,,2026-04-06,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2012,Honda,Pilot,Exl,Sv,Side,0,112058 mi,46750816,,2026-04-02,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2013,Bmw,1 Series,I,Bd,Minor Dent/Scratches,0,182144 mi,46568246,,2026-04-09,Tx - Houston East,TX,Rebrowser-Copart,COPART,
2016,Ford,F350,Super Duty,Ct,Minor Dent/Scratches,0,130816 mi,45837416,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2021,Lexus,Rx350,Base,Ct,Front End,0,121351 mi,45601836,,2026-04-02,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2020,Hyundai,Elantra,Sel,Ct,Front End,0,133212 mi,41962386,,2026-04-07,Wholesale Auction,TX,Rebrowser-Copart,COPART,
2020,Hyundai,Elantra,Sel,Wf,Water/Flood,0,67296 mi,96909655,,2026-04-02,Nc - Concord,NC,Rebrowser-Copart,COPART,
2022,Nissan,Rogue,Sv,Sc,Front End,0,99354 mi,93175365,,2026-04-16,Nc - Concord,NC,Rebrowser-Copart,COPART,
2018,Dodge,Charger R,R,Sc,Rear End,0,102336 mi,79717545,,2026-04-16,Nc - Concord,NC,Rebrowser-Copart,COPART,
2018,Acura,Mdx,,St,Side,0,105013 mi,78734435,,,Nc - Concord,NC,Rebrowser-Copart,COPART,
2019,Acura,Mdx,Technology,Sc,Front End,0,68696 mi,77777975,,2026-04-02,Nc - Concord,NC,Rebrowser-Copart,COPART,
2021,Kia,Seltos,S,Sc,Side,0,67030 mi,77247085,,2026-04-16,Nc - Concord,NC,Rebrowser-Copart,COPART,
2019,Toyota,Camry,Se,Sc,Front End,0,206873 mi,47798106,,2026-04-16,Nc - Concord,NC,Rebrowser-Copart,COPART,
2022,Subaru,Outback,Onyx Edition Xt,Sc,Rollover,0,211869 mi,98886335,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2017,Ford,Fusion,Se,Sc,Front End,0,59090 mi,79304245,,2026-04-02,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Volkswagen,Passat,Wolfsburg,St,All Over,0,94619 mi,79217215,,2026-04-02,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2025,Volkswagen,Jetta,Se,St,Side,0,1763 mi,78959605,,2026-04-02,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Volkswagen,Jetta,Se,St,Rear End,0,149945 mi,77166035,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2021,Honda,Accord,Sport Se,St,Front End,0,62074 mi,74759715,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2022,Honda,Accord,Hybrid Sport,Ct,Front End,0,51547 mi,48092656,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2021,Mercedes-Benz,Glc-Class,63 S 4Matic Amg,Ct,Minor Dent/Scratches,0,72822 mi,48337556,,2026-04-13,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2015,Land Rover,Lr4,Hse,Ct,Minor Dent/Scratches,0,129897 mi,48346736,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
