vin,year,make,model,trim,type,damage,price,odometer,lot,date,location,state,source,repair_cost,url,matched_url,price_source
[PREMIUM],2017,Toyota,Corolla,LE,SC,Rear End,0,73079,77733415,2026-04-09,CA - NAPA,CA,,11512.0,[PREMIUM],,
[PREMIUM],2018,Chevrolet,Tahoe,K1500 LT,SC,Front End,0,54476,46359366,2026-04-16,CA - NAPA,CA,,24057.0,[PREMIUM],,
[PREMIUM],2024,Lexus,Rc350,F SPORT,SC,Rear End,0,9365,78867705,2026-04-10,CA - LONG BEACH,CA,,33257.0,[PREMIUM],,
[PREMIUM],2025,Honda,Passport,TRAIL SPORT,SC,Rear End,0,22384,78225435,2026-04-10,CA - LONG BEACH,CA,,32683.0,[PREMIUM],,
[PREMIUM],2019,Subaru,Crosstrek,PREMIUM,SC,Side,0,32019,77812055,2026-04-10,CA - LONG BEACH,CA,,17719.0,[PREMIUM],,
[PREMIUM],2019,Hyundai,Ioniq,BLUE,SC,Rear End,0,194198,76216655,2026-04-22,CA - LONG BEACH,CA,,12982.0,[PREMIUM],,
[PREMIUM],2019,Kia,Optima,LX,SC,Vandalism,0,0,74837325,2026-04-08,CA - LONG BEACH,CA,,19667.0,[PREMIUM],,
[PREMIUM],2017,Jaguar,Xe,,SC,Front End,0,102998,47028756,2026-04-10,CA - LONG BEACH,CA,,9438.0,[PREMIUM],,
[PREMIUM],2016,Chrysler,200,LIMITED,SC,Front End,0,141445,46235186,2026-04-08,CA - LONG BEACH,CA,,10295.0,[PREMIUM],,
[PREMIUM],2024,Toyota,Tundra,CREWMAX LIMITED,SC,Vandalism,0,38581,74137395,2026-04-13,CA - SUN VALLEY,CA,,31644.0,[PREMIUM],,
[PREMIUM],2016,Lexus,Es300,,CT,Minor Dent/Scratches,0,100919,72364205,,CA - SUN VALLEY,CA,,1000.0,[PREMIUM],,
[PREMIUM],2023,Honda,Civic,SI,SC,Front End,0,75176,47786406,2026-04-13,CA - SUN VALLEY,CA,,22104.0,[PREMIUM],,
[PREMIUM],2016,Kia,Optima,LX,SC,Normal Wear,0,132328,47240686,2026-04-13,CA - SUN VALLEY,CA,,10592.0,[PREMIUM],,
[PREMIUM],2015,Honda,Fit,LX,SC,Front End,0,112644,46496576,,CA - SUN VALLEY,CA,,10060.0,[PREMIUM],,
[PREMIUM],2024,Subaru,Outback,PREMIUM,SC,Front End,0,16935,45948096,2026-04-13,CA - SUN VALLEY,CA,,23203.0,[PREMIUM],,
[PREMIUM],2016,Porsche,Cayenne,SE HYBRID,SC,Front End,0,126641,45791556,2026-04-13,CA - SUN VALLEY,CA,,11416.0,[PREMIUM],,
[PREMIUM],2022,Tesla,Model Y,,SC,Front End,0,0,45722896,2026-04-13,CA - SUN VALLEY,CA,,23441.0,[PREMIUM],,
[PREMIUM],2022,Toyota,Corolla,LE,SC,Front End,0,76148,41797456,2026-04-13,CA - SUN VALLEY,CA,,15058.0,[PREMIUM],,
[PREMIUM],2019,Ford,Fusion,TITANIUM,SC,Front End,0,38158,41611996,2026-04-13,CA - SUN VALLEY,CA,,12671.0,[PREMIUM],,
[PREMIUM],2022,Subaru,Ascent,TOURING,SC,Rear End,0,73689,79557455,2026-04-09,CA - ANTELOPE,CA,,17781.0,[PREMIUM],,
[PREMIUM],2022,Toyota,Mirai,XLE,SC,Front End,0,12570,79899155,2026-04-09,CA - ANTELOPE,CA,,24687.0,[PREMIUM],,
[PREMIUM],2016,Hyundai,Sonata,SE,SC,Front End,0,138217,47054116,2026-04-16,CA - ANTELOPE,CA,,6866.0,[PREMIUM],,
[PREMIUM],2021,Nissan,Rogue,S,SC,Front End,0,80353,47118066,2026-04-09,CA - ANTELOPE,CA,,12947.0,[PREMIUM],,
[PREMIUM],2018,Ford,Fusion,SE HYBRID,SC,Front End,0,117746,46185416,2026-04-09,CA - ANTELOPE,CA,,6887.0,[PREMIUM],,
